,WIKA_A10[mV]
851,0.9119595052000001
852,0.9119845987999999
853,0.9108454586000001
854,0.9113399386000001
855,0.9112972736
856,0.9123167872
857,0.9122454762000001
858,0.9133885502
859,0.9125604272000001
860,0.9124812959999999
861,0.9123360754000001
862,0.9124648094
863,0.911306119
864,0.9115260839999999
865,0.911624825
866,0.9116484998000001
867,0.9117208598000002
868,0.9128489850000001
869,0.9129711626000001
870,0.9128955602000002
871,0.9119706034
872,0.9118181586
873,0.9118569374
874,0.9118125796
875,0.9118183136000001
876,0.91287179
877,0.9129394652
878,0.9128798962
879,0.912969768
880,0.9130210994000001
881,0.9130918382
882,0.9129372834
883,0.9131195426
884,0.9131636501999999
885,0.9131848694
886,0.9131653668
887,0.9126813053999999
888,0.9123796462
889,0.9123061894
890,0.9117407082
891,0.9117019174000001
892,0.912367296
893,0.9124614952
894,0.9124014376
895,0.912996459
896,0.9118216992000001
897,0.9116540552
898,0.91171242
899,0.9117133378
900,0.9108033177999999
901,0.912051916
902,0.9111022114
903,0.9109469294
904,0.9108894944000001
905,0.9117902876
906,0.9117262244
907,0.9126304506
908,0.9127962350000001
909,0.9128827214000002
910,0.9117430448
911,0.9117019534
912,0.9119441152000001
913,0.9118913531999999
914,0.9117802262
915,0.9130498886
916,0.9118510126
917,0.9110863208
918,0.9111280321999999
919,0.9111891508
920,0.9109825967999999
921,0.9123384
922,0.9129254222000001
923,0.9119536638
924,0.9118984579999999
925,0.912027514
926,0.9119244693999999
927,0.9118389726
928,0.9129603744000001
929,0.9120062232
930,0.9109770773999999
931,0.9097719310000001
932,0.9090626117999999
933,0.9089007135999999
934,0.9099352118
935,0.910317528
936,0.9113513826
937,0.9123398422
938,0.9122767208000001
939,0.9123066782
940,0.9129747152000001
941,0.913137257
942,0.9129614948
943,0.9130358338000001
944,0.9120965122000001
945,0.9120395896
946,0.9108430026000001
947,0.9108395456
948,0.9096828102
949,0.9094860314
950,0.9094853281999999
951,0.909337163
952,0.9084132194000001
953,0.9093691230000001
954,0.9095101476
955,0.9094094992
956,0.9107165814
957,0.911370075
958,0.9104224684
959,0.9113659266
960,0.9103411319999999
961,0.9092270734
962,0.9095095754000001
963,0.9106360316
964,0.9095802068000001
965,0.9108866213999999
966,0.9120595932000001
967,0.9122622372
968,0.9123914362000001
969,0.9123622537999999
970,0.9122080684
971,0.9121681093999999
972,0.9109583258
973,0.9109616042
974,0.9121055007999999
975,0.9121090534
976,0.9122504476
977,0.9123298529999999
978,0.9122595076
979,0.9116732839999999
980,0.9104972128
981,0.9092677478000001
982,0.9092220428
983,0.9091396213999999
984,0.908519733
985,0.9096623660000001
986,0.9108500124000001
987,0.9119205358
988,0.9109500768000001
989,0.9110029104
990,0.9101155878
991,0.9087613464000001
992,0.9081624626
993,0.9092159152000001
994,0.9100406884
995,0.9109168648000001
996,0.9120767472000001
997,0.9126127242000001
998,0.9125093458
999,0.9116879104000001
1000,0.9105989336
1001,0.9094578741999999
1002,0.908479142
1003,0.907407987
1004,0.9075161575999999
1005,0.907611835
1006,0.9087279201999999
1007,0.9085630896
1008,0.9085300448
1009,0.9095634819999999
1010,0.9095084908000001
1011,0.9086255432
1012,0.9097360254
1013,0.9109182596000001
1014,0.9097676396000001
1015,0.9096547244
1016,0.9095234632
1017,0.9089588880000001
1018,0.9089756012000001
1019,0.9091065050000001
1020,0.9103020432000001
1021,0.9114626647999999
1022,0.9110868336
1023,0.909901309
1024,0.9099141478
1025,0.9087285636000001
1026,0.9086662528
1027,0.9090361831999999
1028,0.9103331208000001
1029,0.9102015972
1030,0.911280644
1031,0.910194719
1032,0.9095728160000001
1033,0.90932163
