R2_1-m/m	R2_2-m/m	R2_3-m/m	e1	e2
0.00002432	-0.00001307	0.00002522	-0.00001307	0.00006261
0.00003140	-0.00001534	0.00003026	-0.00001535	0.00007701
0.00003352	-0.00001600	0.00003501	-0.00001601	0.00008454
0.00003804	-0.00001764	0.00003951	-0.00001765	0.00009519
0.00003896	-0.00002063	0.00004280	-0.00002066	0.00010242
0.00004132	-0.00002083	0.00004360	-0.00002084	0.00010576
0.00004176	-0.00001897	0.00004297	-0.00001897	0.00010370
0.00004110	-0.00001742	0.00004215	-0.00001742	0.00010067
0.00003986	-0.00001788	0.00004309	-0.00001791	0.00010085
0.00004098	-0.00002024	0.00004098	-0.00002024	0.00010221
0.00004077	-0.00002090	0.00004393	-0.00002092	0.00010562
0.00004201	-0.00001754	0.00004390	-0.00001755	0.00010347
0.00004210	-0.00002009	0.00004597	-0.00002011	0.00010818
0.00004758	-0.00002223	0.00004724	-0.00002223	0.00011704
0.00005012	-0.00002304	0.00005281	-0.00002305	0.00012598
0.00005452	-0.00002309	0.00005457	-0.00002309	0.00013218
0.00005976	-0.00002509	0.00006123	-0.00002509	0.00014608
0.00006322	-0.00002795	0.00006519	-0.00002795	0.00015636
0.00006397	-0.00002878	0.00006469	-0.00002879	0.00015744
0.00006248	-0.00002813	0.00006743	-0.00002816	0.00015807
0.00006424	-0.00002810	0.00006643	-0.00002811	0.00015878
0.00006371	-0.00002967	0.00006835	-0.00002970	0.00016176
0.00006617	-0.00002928	0.00006775	-0.00002928	0.00016320
0.00006267	-0.00002826	0.00006755	-0.00002829	0.00015852
0.00006488	-0.00002946	0.00006822	-0.00002948	0.00016257
0.00006405	-0.00002886	0.00006735	-0.00002887	0.00016027
0.00006360	-0.00002786	0.00006690	-0.00002787	0.00015836
0.00006785	-0.00002936	0.00007020	-0.00002937	0.00016741
0.00007503	-0.00003388	0.00007650	-0.00003388	0.00018541
0.00007913	-0.00003461	0.00008622	-0.00003467	0.00020001
0.00008343	-0.00003656	0.00009029	-0.00003661	0.00021033
0.00008557	-0.00003727	0.00009358	-0.00003733	0.00021648
0.00008736	-0.00003834	0.00009555	-0.00003841	0.00022132
0.00008898	-0.00003863	0.00009392	-0.00003866	0.00022156
0.00008648	-0.00003961	0.00009496	-0.00003968	0.00022112
0.00008579	-0.00003905	0.00009465	-0.00003913	0.00021957
0.00008701	-0.00003906	0.00009758	-0.00003917	0.00022375
0.00008637	-0.00003848	0.00009539	-0.00003856	0.00022033
0.00008573	-0.00003842	0.00009700	-0.00003855	0.00022127
